GEOID,NameofArea,QualifyingName,AbbreviationUSPS,SummaryLevel,GeographicComponent,FileIdentification,LogicalRecordNumber,ZipCode3,ZipCode5,GeographicIdentifier,PopulationDensity,AreaLand,TotalPopulation,Median Age,MinorityPercentage,PercentageUnemoployment,MedianhouseholdIncome,HouseholdsGiniIndex
11211232,11232 ZCTA5,11232 ZCTA5,us,860,0,ACSSF,13335,112,11232,86000US11232,22463.25,1.283163,28824,31.6,59.88412434,11.19535834,43595,0.4425
11211233,11233 ZCTA5,11233 ZCTA5,us,860,0,ACSSF,13336,112,11233,86000US11233,50893.44,1.347895,68599,33.4,95.62821615,15.15559401,34492,0.5133
11211234,11234 ZCTA5,11234 ZCTA5,us,860,0,ACSSF,13337,112,11234,86000US11234,12488.83,7.547467,94259,38.4,53.79751536,10.21929373,68431,0.4164
11211235,11235 ZCTA5,11235 ZCTA5,us,860,0,ACSSF,13338,112,11235,86000US11235,33232.58,2.245688,74630,44.5,18.74447273,8.139434554,41639,0.5204
11211236,11236 ZCTA5,11236 ZCTA5,us,860,0,ACSSF,13339,112,11236,86000US11236,27041.18,3.595147,97217,37.1,93.46410607,9.924347031,61061,0.4049
11211237,11237 ZCTA5,11237 ZCTA5,us,860,0,ACSSF,13340,112,11237,86000US11237,56623.82,0.9797644,55478,29.1,59.64886982,12.64891743,40372,0.482
11211238,11238 ZCTA5,11238 ZCTA5,us,860,0,ACSSF,13341,112,11238,86000US11238,46936.16,1.105651,51895,34.5,58.60872916,9.224869402,65315,0.4713
11211239,11239 ZCTA5,11239 ZCTA5,us,860,0,ACSSF,13342,112,11239,86000US11239,22569.16,0.5706459,12879,43.4,64.74105132,13.71488033,26275,0.4662
11311351,11351 ZCTA5,11351 ZCTA5,us,860,0,ACSSF,13343,113,11351,86000US11351,0,0.002931288,0,,#DIV/0!,#DIV/0!,,
11311354,11354 ZCTA5,11354 ZCTA5,us,860,0,ACSSF,13344,113,11354,86000US11354,25960.56,2.167057,56258,43.2,73.49532511,8.752296075,46566,0.468
11311355,11355 ZCTA5,11355 ZCTA5,us,860,0,ACSSF,13345,113,11355,86000US11355,47965.02,1.735035,83221,40.9,83.41524375,9.744807406,41884,0.4709
11311356,11356 ZCTA5,11356 ZCTA5,us,860,0,ACSSF,13346,113,11356,86000US11356,14660.31,1.571386,23037,37.2,60.16842471,10.38277899,58465,0.4053
11311357,11357 ZCTA5,11357 ZCTA5,us,860,0,ACSSF,13347,113,11357,86000US11357,14587.54,2.801844,40872,43.9,23.50753572,11.10502738,71978,0.4102
11311358,11358 ZCTA5,11358 ZCTA5,us,860,0,ACSSF,13348,113,11358,86000US11358,19655.67,1.949412,38317,41.9,53.42798236,9.59555908,65722,0.441
11311359,11359 ZCTA5,11359 ZCTA5,us,860,0,ACSSF,13349,113,11359,86000US11359,0,0.2458189,0,,#DIV/0!,#DIV/0!,,
11311360,11360 ZCTA5,11360 ZCTA5,us,860,0,ACSSF,13350,113,11360,86000US11360,13939.02,1.425136,19865,48.2,34.62371004,8.799522198,76183,0.4316
11311361,11361 ZCTA5,11361 ZCTA5,us,860,0,ACSSF,13351,113,11361,86000US11361,17401.53,1.758294,30597,40.3,46.51763245,9.162351508,75335,0.4212
11311362,11362 ZCTA5,11362 ZCTA5,us,860,0,ACSSF,13352,113,11362,86000US11362,7098.135,2.516858,17865,45,46.1125105,7.383594317,82332,0.4141
11311363,11363 ZCTA5,11363 ZCTA5,us,860,0,ACSSF,13353,113,11363,86000US11363,8466.752,0.8685739,7354,43.1,43.02420451,8.560118753,90799,0.4641
11311364,11364 ZCTA5,11364 ZCTA5,us,860,0,ACSSF,13354,113,11364,86000US11364,14092.03,2.466004,34751,42.9,55.62429858,7.38813147,72909,0.4183
11311365,11365 ZCTA5,11365 ZCTA5,us,860,0,ACSSF,13355,113,11365,86000US11365,16792.05,2.496658,41924,41.7,62.38908501,10.35434429,55492,0.452
11311366,11366 ZCTA5,11366 ZCTA5,us,860,0,ACSSF,13356,113,11366,86000US11366,12332.25,1.094609,13499,41.4,50.17408697,11.60634161,71350,0.442
11311367,11367 ZCTA5,11367 ZCTA5,us,860,0,ACSSF,13357,113,11367,86000US11367,17241.82,2.379215,41022,34.9,43.46448247,9.957836656,56608,0.4525
11311368,11368 ZCTA5,11368 ZCTA5,us,860,0,ACSSF,13358,113,11368,86000US11368,41019.85,2.631945,107962,31.5,54.43304126,7.372088113,45964,0.4149
11311369,11369 ZCTA5,11369 ZCTA5,us,860,0,ACSSF,13359,113,11369,86000US11369,38179.77,1.067607,40761,33.5,75.95005029,9.844169295,53617,0.4191
11311370,11370 ZCTA5,11370 ZCTA5,us,860,0,ACSSF,13360,113,11370,86000US11370,26181.29,1.422543,37244,34.9,64.04253034,14.24265788,52500,0.442
11311371,11371 ZCTA5,11371 ZCTA5,us,860,0,ACSSF,13361,113,11371,86000US11371,0,1.004928,0,,#DIV/0!,#DIV/0!,,
11311372,11372 ZCTA5,11372 ZCTA5,us,860,0,ACSSF,13362,113,11372,86000US11372,85863.12,0.7374529,63320,38.2,38.47599495,8.197359277,48683,0.4419
11311373,11373 ZCTA5,11373 ZCTA5,us,860,0,ACSSF,13363,113,11373,86000US11373,64919.09,1.527424,99159,36.2,60.18818262,6.331720775,47667,0.4523
11311374,11374 ZCTA5,11374 ZCTA5,us,860,0,ACSSF,13364,113,11374,86000US11374,45269.32,0.9343414,42297,40.6,35.04976712,9.376747387,52532,0.4752
11311375,11375 ZCTA5,11375 ZCTA5,us,860,0,ACSSF,13365,113,11375,86000US11375,35224.04,1.980381,69757,42.1,34.88825494,6.836500092,72000,0.457
11311377,11377 ZCTA5,11377 ZCTA5,us,860,0,ACSSF,13366,113,11377,86000US11377,33894.45,2.546611,86316,35.8,53.0921266,7.736793405,49886,0.4176
11311378,11378 ZCTA5,11378 ZCTA5,us,860,0,ACSSF,13367,113,11378,86000US11378,12634.75,2.553909,32268,38.9,21.41750341,9.347432377,57474,0.4306
11311379,11379 ZCTA5,11379 ZCTA5,us,860,0,ACSSF,13368,113,11379,86000US11379,17267.68,2.074512,35822,43.4,13.72620178,7.756036409,69843,0.4295
11311385,11385 ZCTA5,11385 ZCTA5,us,860,0,ACSSF,13369,113,11385,86000US11385,27507.79,3.612759,99379,35,18.19901589,8.408377608,50799,0.4398
11411411,11411 ZCTA5,11411 ZCTA5,us,860,0,ACSSF,13370,114,11411,86000US11411,16016.78,1.168899,18722,44.3,96.75248371,6.385313778,83099,0.3558
11411412,11412 ZCTA5,11412 ZCTA5,us,860,0,ACSSF,13371,114,11412,86000US11412,22579.25,1.646467,37176,39.1,97.69205939,15.80654393,70672,0.3831
11411413,11413 ZCTA5,11413 ZCTA5,us,860,0,ACSSF,13372,114,11413,86000US11413,13028.48,3.099747,40385,39,96.88498205,8.720471527,78667,0.376
11411414,11414 ZCTA5,11414 ZCTA5,us,860,0,ACSSF,13373,114,11414,86000US11414,12216.56,2.299665,28094,45.1,15.79340785,9.14084507,66790,0.4211
11411415,11415 ZCTA5,11415 ZCTA5,us,860,0,ACSSF,13374,114,11415,86000US11415,33697.13,0.5681493,19145,36.9,39.83807783,7.681855241,63549,0.4113
11411416,11416 ZCTA5,11416 ZCTA5,us,860,0,ACSSF,13375,114,11416,86000US11416,38983.38,0.6656683,25950,33.4,73.62620424,13.2369636,56724,0.4164
11411417,11417 ZCTA5,11417 ZCTA5,us,860,0,ACSSF,13376,114,11417,86000US11417,27706.03,1.119035,31004,35.8,59.9793575,11.22130739,62086,0.4222
11411418,11418 ZCTA5,11418 ZCTA5,us,860,0,ACSSF,13377,114,11418,86000US11418,22551.67,1.63305,36828,34.1,61.51840991,11.83803887,60691,0.4047
11411419,11419 ZCTA5,11419 ZCTA5,us,860,0,ACSSF,13378,114,11419,86000US11419,43560.25,1.12931,49193,36.4,88.11009697,10.24997057,56735,0.4188
11411420,11420 ZCTA5,11420 ZCTA5,us,860,0,ACSSF,13379,114,11420,86000US11420,23315.15,2.078005,48449,36.5,83.38252596,11.49371254,59832,0.4237
11411421,11421 ZCTA5,11421 ZCTA5,us,860,0,ACSSF,13380,114,11421,86000US11421,33063.45,1.288069,42588,34.2,55.24795717,11.78419936,60897,0.4264
11411422,11422 ZCTA5,11422 ZCTA5,us,860,0,ACSSF,13381,114,11422,86000US11422,16906.17,1.968512,33280,35,92.51502404,7.453886515,84824,0.3581
11411423,11423 ZCTA5,11423 ZCTA5,us,860,0,ACSSF,13382,114,11423,86000US11423,22414.69,1.410905,31625,39.8,83.89249012,12.53222404,60892,0.4482
11411424,11424 ZCTA5,11424 ZCTA5,us,860,0,ACSSF,13383,114,11424,86000US11424,0,0.03369552,0,,#DIV/0!,#DIV/0!,,
11411425,11425 ZCTA5,11425 ZCTA5,us,860,0,ACSSF,13384,114,11425,86000US11425,0,0.03814767,0,,#DIV/0!,#DIV/0!,,
11411426,11426 ZCTA5,11426 ZCTA5,us,860,0,ACSSF,13385,114,11426,86000US11426,14510.45,1.349028,19575,39.8,51.85696041,8.987791983,82301,0.4051
11411427,11427 ZCTA5,11427 ZCTA5,us,860,0,ACSSF,13386,114,11427,86000US11427,15781.92,1.576298,24877,39.9,72.76600876,7.78058297,70108,0.4086
11411428,11428 ZCTA5,11428 ZCTA5,us,860,0,ACSSF,13387,114,11428,86000US11428,24389.29,0.8326197,20307,39.4,78.38676319,9.799947123,69330,0.3798
11411429,11429 ZCTA5,11429 ZCTA5,us,860,0,ACSSF,13388,114,11429,86000US11429,21759.68,1.301076,28311,39.9,93.67383702,15.21865138,68890,0.4043
11411430,11430 ZCTA5,11430 ZCTA5,us,860,0,ACSSF,13389,114,11430,86000US11430,19.66911,7.11776,140,42.2,87.14285714,36.95652174,,
11411432,11432 ZCTA5,11432 ZCTA5,us,860,0,ACSSF,13390,114,11432,86000US11432,28703.23,2.149131,61687,36,77.25128471,13.10241444,50450,0.4586
11411433,11433 ZCTA5,11433 ZCTA5,us,860,0,ACSSF,13391,114,11433,86000US11433,21148.12,1.551959,32821,32.4,95.89896712,18.30813491,42887,0.4766
11411434,11434 ZCTA5,11434 ZCTA5,us,860,0,ACSSF,13392,114,11434,86000US11434,19392.67,3.238801,62809,36.4,96.98291646,14.01963483,59229,0.3968
11411435,11435 ZCTA5,11435 ZCTA5,us,860,0,ACSSF,13393,114,11435,86000US11435,35350.96,1.514584,53542,35.5,76.47267566,13.91984823,53041,0.418
11411436,11436 ZCTA5,11436 ZCTA5,us,860,0,ACSSF,13394,114,11436,86000US11436,22385.42,0.7878342,17636,36.6,94.71535496,12.27243521,62114,0.3795
11411451,11451 ZCTA5,11451 ZCTA5,us,860,0,ACSSF,13395,114,11451,86000US11451,0,0.03551136,0,,#DIV/0!,#DIV/0!,,
11511501,11501 ZCTA5,11501 ZCTA5,us,860,0,ACSSF,13396,115,11501,86000US11501,9267.366,2.049234,18991,41.9,18.84576905,6.200093941,79013,0.402
11511507,11507 ZCTA5,11507 ZCTA5,us,860,0,ACSSF,13397,115,11507,86000US11507,6481.115,1.079752,6998,45.8,26.89339811,14.61803561,90833,0.4504
11511509,11509 ZCTA5,11509 ZCTA5,us,860,0,ACSSF,13398,115,11509,86000US11509,2401.146,0.8420981,2022,54.5,4.698318497,4.197761194,109375,0.5739
11511510,11510 ZCTA5,11510 ZCTA5,us,860,0,ACSSF,13399,115,11510,86000US11510,7665.726,4.246564,32553,40,42.98221362,7.870007831,98798,0.3642
11511514,11514 ZCTA5,11514 ZCTA5,us,860,0,ACSSF,13400,115,11514,86000US11514,5878.608,0.896981,5273,40.7,25.12801062,8.893632159,84651,0.3796
11511516,11516 ZCTA5,11516 ZCTA5,us,860,0,ACSSF,13401,115,11516,86000US11516,8560.042,0.873477,7477,34.3,9.42891534,6.465101319,85985,0.4263
11511518,11518 ZCTA5,11518 ZCTA5,us,860,0,ACSSF,13402,115,11518,86000US11518,7463.295,1.37245,10243,44.9,3.465781509,10.07724088,92866,0.4084
11511520,11520 ZCTA5,11520 ZCTA5,us,860,0,ACSSF,13403,115,11520,86000US11520,8534.446,5.09371,43472,38.2,59.34624586,10.37018256,67723,0.4329
11511530,11530 ZCTA5,11530 ZCTA5,us,860,0,ACSSF,13404,115,11530,86000US11530,3945.824,7.100924,28019,42.7,9.054570113,5.873925501,135370,0.466
11511542,11542 ZCTA5,11542 ZCTA5,us,860,0,ACSSF,13405,115,11542,86000US11542,4141.373,6.660835,27585,39.4,33.0469458,5.22680339,67914,0.4817
11511545,11545 ZCTA5,11545 ZCTA5,us,860,0,ACSSF,13406,115,11545,86000US11545,1133.325,11.47508,13005,44.9,11.70319108,4.258675079,146083,0.5044
11511547,11547 ZCTA5,11547 ZCTA5,us,860,0,ACSSF,13407,115,11547,86000US11547,1650.844,0.434929,718,42.5,9.470752089,20.52023121,97212,0.3556
11511548,11548 ZCTA5,11548 ZCTA5,us,860,0,ACSSF,13408,115,11548,86000US11548,2555.701,0.9148174,2338,21.2,35.84260051,5.204778157,98375,0.4784
11511549,11549 ZCTA5,11549 ZCTA5,us,860,0,ACSSF,13409,115,11549,86000US11549,33572.84,0.07235014,2429,20.5,30.58871964,10.50788091,,
11511550,11550 ZCTA5,11550 ZCTA5,us,860,0,ACSSF,13410,115,11550,86000US11550,13326,4.260319,56773,32.6,80.1719127,11.75918162,53669,0.4538
11511552,11552 ZCTA5,11552 ZCTA5,us,860,0,ACSSF,13411,115,11552,86000US11552,6607.708,3.414951,22565,41.3,37.3365832,9.063670412,98798,0.4032
11511553,11553 ZCTA5,11553 ZCTA5,us,860,0,ACSSF,13412,115,11553,86000US11553,7490.992,3.501672,26231,34.1,74.23659029,9.017223911,75008,0.4017
11511554,11554 ZCTA5,11554 ZCTA5,us,860,0,ACSSF,13413,115,11554,86000US11554,6031.427,6.248439,37687,43.1,21.33892324,6.321654345,92311,0.3931
11511556,11556 ZCTA5,11556 ZCTA5,us,860,0,ACSSF,13414,115,11556,86000US11556,0,0.05997209,0,,#DIV/0!,#DIV/0!,,
11511557,11557 ZCTA5,11557 ZCTA5,us,860,0,ACSSF,13415,115,11557,86000US11557,3729.064,2.021419,7538,46.4,9.180153887,8.102081269,115516,0.4528
11511558,11558 ZCTA5,11558 ZCTA5,us,860,0,ACSSF,13416,115,11558,86000US11558,5801.901,1.49744,8688,44.1,16.95441989,7.061972411,77056,0.3918
11511559,11559 ZCTA5,11559 ZCTA5,us,860,0,ACSSF,13417,115,11559,86000US11559,1959.82,4.177934,8188,37.3,11.50464094,5.363766049,112862,0.4515
11511560,11560 ZCTA5,11560 ZCTA5,us,860,0,ACSSF,13418,115,11560,86000US11560,870.9596,7.50207,6534,45.6,6.672788491,7.763975155,99278,0.5511
11511561,11561 ZCTA5,11561 ZCTA5,us,860,0,ACSSF,13419,115,11561,86000US11561,9717.501,3.899562,37894,43.6,17.07658204,5.707512764,91984,0.4265
11511563,11563 ZCTA5,11563 ZCTA5,us,860,0,ACSSF,13420,115,11563,86000US11563,9669.683,2.396873,23177,43.1,11.73145791,7.449809192,90896,0.3816
11511565,11565 ZCTA5,11565 ZCTA5,us,860,0,ACSSF,13421,115,11565,86000US11565,7840.188,1.1163,8752,43.7,6.924131627,8.223883613,117500,0.3322
11511566,11566 ZCTA5,11566 ZCTA5,us,860,0,ACSSF,13422,115,11566,86000US11566,6159.175,5.452353,33582,43.9,8.516467155,5.36008796,126532,0.3907
11511568,11568 ZCTA5,11568 ZCTA5,us,860,0,ACSSF,13423,115,11568,86000US11568,448.3218,8.922162,4000,23.5,31.925,4.55942623,192500,0.5337
11511569,11569 ZCTA5,11569 ZCTA5,us,860,0,ACSSF,13424,115,11569,86000US11569,3353.818,0.3903014,1309,48.5,0,0.918635171,108664,0.4151
11511570,11570 ZCTA5,11570 ZCTA5,us,860,0,ACSSF,13425,115,11570,86000US11570,7405.496,3.677674,27235,43.3,17.89241784,7.185234015,104503,0.4829
11511572,11572 ZCTA5,11572 ZCTA5,us,860,0,ACSSF,13426,115,11572,86000US11572,5993.952,4.775981,28627,44.5,7.077234778,6.092671706,96563,0.4043
11511575,11575 ZCTA5,11575 ZCTA5,us,860,0,ACSSF,13427,115,11575,86000US11575,9098.111,1.780589,16200,33.2,86.88271605,10.37575207,66922,0.3911
11511576,11576 ZCTA5,11576 ZCTA5,us,860,0,ACSSF,13428,115,11576,86000US11576,2753.009,4.549204,12524,45.6,18.44458639,5.190428042,150161,0.5121
11511577,11577 ZCTA5,11577 ZCTA5,us,860,0,ACSSF,13429,115,11577,86000US11577,4116.488,3.046529,12541,43,29.65473248,6.757843926,112552,0.4658
11511579,11579 ZCTA5,11579 ZCTA5,us,860,0,ACSSF,13430,115,11579,86000US11579,4782.564,1.12262,5369,43.3,8.344198175,4.709748083,100250,0.4433
11511580,11580 ZCTA5,11580 ZCTA5,us,860,0,ACSSF,13431,115,11580,86000US11580,10527.42,3.906847,41129,39.4,62.0316565,9.89338072,88771,0.3837
11511581,11581 ZCTA5,11581 ZCTA5,us,860,0,ACSSF,13432,115,11581,86000US11581,7847.093,2.693227,21134,38.3,37.88681745,10.99883752,98113,0.4029
11511590,11590 ZCTA5,11590 ZCTA5,us,860,0,ACSSF,13433,115,11590,86000US11590,6838.766,6.676058,45656,37.3,52.30856842,6.330111586,87894,0.4222
11511596,11596 ZCTA5,11596 ZCTA5,us,860,0,ACSSF,13434,115,11596,86000US11596,7945.536,1.331817,10582,44,16.37686638,7.652874405,112596,0.4165
11511598,11598 ZCTA5,11598 ZCTA5,us,860,0,ACSSF,13435,115,11598,86000US11598,6610.559,1.991813,13167,40,7.503607504,5.560019283,140917,0.4543
11611691,11691 ZCTA5,11691 ZCTA5,us,860,0,ACSSF,13436,116,11691,86000US11691,21558.11,2.833783,61091,31.2,63.31538197,12.6146877,39409,0.5084
11611692,11692 ZCTA5,11692 ZCTA5,us,860,0,ACSSF,13437,116,11692,86000US11692,17698.36,0.9986235,17674,35.4,74.00701596,14.36100132,43354,0.4653
11611693,11693 ZCTA5,11693 ZCTA5,us,860,0,ACSSF,13438,116,11693,86000US11693,11367.43,0.9971471,11335,39.1,43.91707102,12.24450068,50570,0.4344
11611694,11694 ZCTA5,11694 ZCTA5,us,860,0,ACSSF,13439,116,11694,86000US11694,15908.26,1.365643,21725,43.7,14.82163406,8.795298727,76944,0.4426
11611697,11697 ZCTA5,11697 ZCTA5,us,860,0,ACSSF,13440,116,11697,86000US11697,1902.419,2.219805,4223,50.3,1.136632726,5.916813122,87636,0.3923
