GEOID,NameofArea,QualifyingName,AbbreviationUSPS,SummaryLevel,GeographicComponent,FileIdentification,LogicalRecordNumber,ZipCode3,ZipCode5,GeographicIdentifier,PopulationDensity,AreaLand,TotalPopulation,Median Age,MinorityPercentage,PercentageUnemoployment,MedianhouseholdIncome,HouseholdsGiniIndex
10010012,10012 ZCTA5,10012 ZCTA5,us,860,0,ACSSF,13049,100,10012,86000US10012,80873.23,0.3232837,26145,34.1,24.6854083,5.115301665,86594,0.5297
10010013,10013 ZCTA5,10013 ZCTA5,us,860,0,ACSSF,13050,100,10013,86000US10013,47193.77,0.5522975,26065,36.4,43.87876463,6.054741498,83725,0.6524
10010014,10014 ZCTA5,10014 ZCTA5,us,860,0,ACSSF,13051,100,10014,86000US10014,53727.76,0.5694821,30597,36.7,12.11229859,7.074297903,108483,0.5213
10010016,10016 ZCTA5,10016 ZCTA5,us,860,0,ACSSF,13052,100,10016,86000US10016,96201.5,0.5321746,51196,32.8,25.10938355,5.424030232,105324,0.5124
10010017,10017 ZCTA5,10017 ZCTA5,us,860,0,ACSSF,13053,100,10017,86000US10017,50381.49,0.3201374,16129,37.2,23.37404675,4.209495839,100652,0.5157
10010018,10018 ZCTA5,10018 ZCTA5,us,860,0,ACSSF,13054,100,10018,86000US10018,21819.63,0.3217745,7021,30.9,41.24768551,5.274062912,104635,0.4921
10010019,10019 ZCTA5,10019 ZCTA5,us,860,0,ACSSF,13055,100,10019,86000US10019,56459.61,0.6800259,38394,38.8,27.38188259,6.761930031,84424,0.5531
10010020,10020 ZCTA5,10020 ZCTA5,us,860,0,ACSSF,13056,100,10020,86000US10020,0,0.02762947,0,,#DIV/0!,#DIV/0!,,
10010021,10021 ZCTA5,10021 ZCTA5,us,860,0,ACSSF,13057,100,10021,86000US10021,105558,0.3871049,40862,42.7,11.49968186,4.59909473,107907,0.589
10010022,10022 ZCTA5,10022 ZCTA5,us,860,0,ACSSF,13058,100,10022,86000US10022,67873.23,0.4363723,29618,45.3,14.70389628,6.518185533,109019,0.5847
10010023,10023 ZCTA5,10023 ZCTA5,us,860,0,ACSSF,13059,100,10023,86000US10023,125003.2,0.4905073,61315,41.3,17.34812036,6.057834566,103534,0.5743
10010024,10024 ZCTA5,10024 ZCTA5,us,860,0,ACSSF,13060,100,10024,86000US10024,68967.46,0.8578538,59164,41.8,19.01156108,5.549324211,109956,0.5711
10010025,10025 ZCTA5,10025 ZCTA5,us,860,0,ACSSF,13061,100,10025,86000US10025,129571.4,0.7516317,97390,38.2,34.27867338,8.671654381,68516,0.5748
10010026,10026 ZCTA5,10026 ZCTA5,us,860,0,ACSSF,13062,100,10026,86000US10026,113954.1,0.3323355,37871,33.6,76.66552243,8.282258502,43107,0.5473
10010027,10027 ZCTA5,10027 ZCTA5,us,860,0,ACSSF,13063,100,10027,86000US10027,71852.31,0.8714681,62617,30.7,71.53808071,7.636775426,37872,0.579
10010028,10028 ZCTA5,10028 ZCTA5,us,860,0,ACSSF,13064,100,10028,86000US10028,140990.3,0.3141706,44295,40.3,10.93351394,5.610514909,104638,0.5741
10010029,10029 ZCTA5,10029 ZCTA5,us,860,0,ACSSF,13065,100,10029,86000US10029,93874.63,0.8250791,77454,33.5,64.93660753,12.89303035,31888,0.5993
10010030,10030 ZCTA5,10030 ZCTA5,us,860,0,ACSSF,13066,100,10030,86000US10030,102070.2,0.2789453,28472,34,84.89393088,14.85374455,31925,0.557
10010031,10031 ZCTA5,10031 ZCTA5,us,860,0,ACSSF,13067,100,10031,86000US10031,90800.1,0.6507922,59092,33,72.48358492,11.48323865,37655,0.53
10010032,10032 ZCTA5,10032 ZCTA5,us,860,0,ACSSF,13068,100,10032,86000US10032,90306.65,0.657471,59374,34.5,71.48415131,16.09792285,34568,0.4818
10010033,10033 ZCTA5,10033 ZCTA5,us,860,0,ACSSF,13069,100,10033,86000US10033,97114.56,0.6045437,58710,35.9,58.89967638,15.8127634,41556,0.5077
10010034,10034 ZCTA5,10034 ZCTA5,us,860,0,ACSSF,13070,100,10034,86000US10034,36854.17,1.126331,41510,36.5,63.78944833,16.20416667,41171,0.4665
10010035,10035 ZCTA5,10035 ZCTA5,us,860,0,ACSSF,13071,100,10035,86000US10035,23984.61,1.396229,33488,34.2,78.89094601,13.01860891,24533,0.575
10010036,10036 ZCTA5,10036 ZCTA5,us,860,0,ACSSF,13072,100,10036,86000US10036,52182.9,0.443287,23132,38.2,33.71519972,10.2344065,66599,0.5382
10010037,10037 ZCTA5,10037 ZCTA5,us,860,0,ACSSF,13073,100,10037,86000US10037,65825.32,0.2639866,17377,37.6,91.60384416,11.75670664,37341,0.4722
10010038,10038 ZCTA5,10038 ZCTA5,us,860,0,ACSSF,13074,100,10038,86000US10038,67481.89,0.2975909,20082,32.4,49.84563291,5.363984674,66074,0.599
10010039,10039 ZCTA5,10039 ZCTA5,us,860,0,ACSSF,13075,100,10039,86000US10039,57392.18,0.463077,26577,33.3,85.91639387,22.52628324,33595,0.4971
10010040,10040 ZCTA5,10040 ZCTA5,us,860,0,ACSSF,13076,100,10040,86000US10040,118931.3,0.3768983,44825,37,60.73173452,13.69117707,42721,0.4849
10010044,10044 ZCTA5,10044 ZCTA5,us,860,0,ACSSF,13077,100,10044,86000US10044,51084.92,0.241676,12346,40.2,44.55694152,6.688259109,83066,0.4659
10010065,10065 ZCTA5,10065 ZCTA5,us,860,0,ACSSF,13078,100,10065,86000US10065,84897.65,0.3863122,32797,38.9,13.66283502,5.119002645,115519,0.5694
10010069,10069 ZCTA5,10069 ZCTA5,us,860,0,ACSSF,13079,100,10069,86000US10069,49130.69,0.1041711,5118,38.1,25.20515826,6.271091114,170630,0.4562
10010075,10075 ZCTA5,10075 ZCTA5,us,860,0,ACSSF,13080,100,10075,86000US10075,134653.3,0.1845406,24849,40.9,11.50951749,5.737337517,102941,0.564
10110103,10103 ZCTA5,10103 ZCTA5,us,860,0,ACSSF,13081,101,10103,86000US10103,0,0.009566068,0,,#DIV/0!,#DIV/0!,,
10110110,10110 ZCTA5,10110 ZCTA5,us,860,0,ACSSF,13082,101,10110,86000US10110,193.9267,0.01031318,2,,50,0,,
10110111,10111 ZCTA5,10111 ZCTA5,us,860,0,ACSSF,13083,101,10111,86000US10111,0,0.003697315,0,,#DIV/0!,#DIV/0!,,
10110112,10112 ZCTA5,10112 ZCTA5,us,860,0,ACSSF,13084,101,10112,86000US10112,0,0.005889216,0,,#DIV/0!,#DIV/0!,,
10110115,10115 ZCTA5,10115 ZCTA5,us,860,0,ACSSF,13085,101,10115,86000US10115,0,0.002555224,0,,#DIV/0!,#DIV/0!,,
10110119,10119 ZCTA5,10119 ZCTA5,us,860,0,ACSSF,13086,101,10119,86000US10119,0,0.01645297,0,,#DIV/0!,#DIV/0!,,
