,cleanName,NAME,Type,valid,parkDistrict_x,parkDistrict_y,geometry
889,aqueduct walk - brady playground,brady playground,pgs,v,,X-11,POINT (-73.86879999999999 40.85139999999985)
890,pool - tompkins square,tompkins square pool,pool,av,,M-03,POINT (-73.98100000000001 40.72689999999984)
891,golf course - van cortlandt,van cortlandt park,empiric,av,,X-13,POINT (-73.88666707241306 40.89710151291683)
892,pelham bay park - pelham south park headquarters,pelham bay park,empiric,av,,X-11,POINT (-73.80420185645582 40.8681072084011)
893,elton playground,elton playground,park_direct,av,,B-05,POINT (-73.88073888405771 40.66593255606709)
894,capt tilly park,captain tilly park,other,av,,Q-08,POINT (-73.79881855294276 40.71216190225843)
895,augustus saint gaudens,augustus st. gaudens playground,other,av,,M-06,POINT (-73.98215310259822 40.73555002631246)
896,saratoga square park,"saratoga square urban renewal area, site 164",other,v,,B-16,POINT (-73.91167939173837 40.67851476650093)
897,dr ronald e mcnair playground,dr. ronald e. mcnair playground,pgs,av,,M-11,POINT (-73.93810000000001 40.80259999999983)
898,mott playground,mott playground,park_direct,av,,X-04,POINT (-73.91473314368039 40.83127989489595)
899,terrace playground,terrace playground,park_direct,av,,R-01,POINT (-74.09859284657003 40.61367168861431)
900,pool - ps 14 playground,ps 14 playground pool,pool,v,,R-01,POINT (-74.0793 40.62279999999985)
901,central park - safari playground,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
902,aqueduct walk - aqueduct lands playground,aqueduct lands playground,pgs,v,,X-05,POINT (-73.9088 40.85739999999984)
903,van cortlandt park - mosholu golf course,van cortlandt park,empiric,av,,X-13,POINT (-73.88666707241306 40.89710151291683)
904,city line park,city line park,park_direct,av,,B-05,POINT (-73.87492274394812 40.67948180023016)
905,sean's place,sean's place,park_direct,av,,Q-01,POINT (-73.91832746365547 40.76077196235588)
906,playground one forty,playground one forty,park_direct,av,,Q-12,POINT (-73.80125408916101 40.6751418890526)
907,mount hope playground,mount hope playground,park_direct,av,,X-05,POINT (-73.9094394372766 40.85029833359087)
908,garibaldi playground,garibaldi playground,park_direct,av,,B-11,POINT (-74.00009565039802 40.60896259062778)
909,prospect park - third street playground,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
910,loring field,vito locascio field,other,v,,Q-10,POINT (-73.84371981982621 40.66995840965117)
911,dodger playground,dodger playground,park_direct,av,,B-09,POINT (-73.95236037118809 40.66487368800213)
912,fort totten park,fort totten park,park_direct,av,,Q-07,POINT (-73.77784648903882 40.79320136374902)
913,howard von dohlen playground,howard von dohlen playground,park_direct,av,,Q-12,POINT (-73.81297834351118 40.69944018495219)
914,andrews playground,andrews playground,pgs,av,,Q-02,POINT (-73.95480000000001 40.74339999999984)
915,van nest park,van nest park,park_direct,av,,X-11,POINT (-73.86577886557058 40.84334525365419)
916,pool - jackie robinson park,jackie robinson pool,pool,av,,M-10,POINT (-73.94280000000001 40.82419999999983)
917,tremont park,tremont park,park_direct,av,,X-06,POINT (-73.89524472381599 40.84527162598383)
918,francis lewis playground - ps 130,francis lewis playground,pgs,av,,Q-07,POINT (-73.8257 40.79619999999985)
919,francis lewis playground - ps 130,francis lewis playground,pgs,av,,Q-11,POINT (-73.7841 40.76049999999986)
920,sachkerah woods playground,sachkerah woods playground,pgs,av,,X-13,POINT (-73.8815 40.88369999999986)
921,pool - recreation center 54,recreation center 54 pool,pool,av,,M-06,POINT (-73.96510000000001 40.75649999999985)
922,asser levy - asser levy playground,asser levy park,empiric,av,,B-13,POINT (-73.97353099490509 40.574731365639)
923,recreation center - detective keith williams (liberty park),detective keith l williams park,other,v,,Q-12,POINT (-73.78442920492633 40.70288383186908)
924,pierrepont playground,pierrepont playground,park_direct,av,,B-02,POINT (-73.99756504391688 40.69626380271617)
925,van alst playground - ps 171,ps 171 - van alst playground,pgs,av,,Q-01,POINT (-73.9282 40.77059999999985)
926,baisley pond park - sutphin playground,sutphin playground,pgs,av,,Q-12,POINT (-73.78919999999999 40.67479999999985)
927,epiphany playground,epiphany playground,park_direct,av,,B-01,POINT (-73.96554230683294 40.70855932486599)
928,dutch kills playground - ps 112,dutch kills playground (ps 112),pgs,av,,Q-01,POINT (-73.9332 40.75729999999984)
929,bayside playground - jhs 180,bayside playground/jhs 180 playground,pgs,av,,Q-14,POINT (-73.82520000000001 40.58479999999983)
930,turtle playground,turtle playground,park_direct,av,,Q-07,POINT (-73.82743223890499 40.74213894739972)
931,aqueduct walk - river park,aqueduct walk,other,v,,X-07,POINT (-73.90216177321257 40.86512705074772)
932,aqueduct walk - river park,aqueduct walk,other,v,,X-05,POINT (-73.9092042331423 40.856691867952)
933,midland playground,midland playground,park_direct,av,,R-02,POINT (-74.09880866744841 40.57490024856283)
934,alley pond park - horatio playground,horatio playground,pgs,av,,Q-11,POINT (-73.7535 40.75869999999984)
935,playground 70,playground 70,pgs,av,,M-07,POINT (-73.98390000000001 40.77739999999984)
936,lafayette playground,lafayette playground,park_direct,av,,B-03,POINT (-73.93006614927783 40.69255632834066)
937,lafayette playground,lafayette playground,park_direct,av,,B-13,POINT (-73.98528984531404 40.59450882906268)
938,chester playground,chester playground,park_direct,av,,B-16,POINT (-73.91184848429847 40.66869400265831)
939,laurelton playground,laurelton playground,park_direct,av,,Q-13,POINT (-73.73653220129937 40.67000054841856)
940,greenwood playground,greenwood playground,park_direct,av,,B-07,POINT (-73.97639602823642 40.65037924883608)
941,auburndale playground - ps 32,auburndale playground,pgs,av,,Q-07,POINT (-73.79430000000001 40.76579999999984)
942,abe lincoln,lincoln center plaza,other,v,,M-07,POINT (-73.98359191810857 40.77260712148648)
943,paerdegat park,paerdegat park,park_direct,av,,B-17,POINT (-73.9381338169333 40.63806142533978)
944,grace playground,grace playground,park_direct,av,,B-05,POINT (-73.89443930763828 40.67137474023584)
945,woodtree playground,woodtree playground,park_direct,av,,Q-01,POINT (-73.90236952904363 40.77752540954965)
946,pool - marcus garvey park,marcus garvey pool,pool,av,,M-11,POINT (-73.9434 40.80519999999985)
947,sperandeo brothers playground,sperandeo brothers playground,park_direct,av,,B-05,POINT (-73.88445649270552 40.67709875345043)
948,pool - ps 46 playground,ps 46 playground pool,pool,v,,R-02,POINT (-74.08159999999999 40.59519999999982)
949,playground ninety ps 148,playground ninety xc,pgs,v,,Q-03,POINT (-73.87860000000001 40.75729999999984)
950,nehemiah park,nehemiah park,park_direct,av,,B-16,POINT (-73.90552206015577 40.66224645243661)
951,american playground,american playground,park_direct,av,,B-01,POINT (-73.95788932960859 40.72876989668067)
952,nautilus playground - brooklyn,nautilus playground,pgs,av,,B-13,POINT (-73.99630000000001 40.57169999999985)
953,nautilus playground - brooklyn,nautilus playground,pgs,av,,Q-12,POINT (-73.77079999999999 40.68499999999982)
954,mathew  muliner playground,matthews muliner playground,pgs,av,,X-11,POINT (-73.86150000000001 40.84699999999987)
955,flushing meadows and corona park - triassic playground,flushing meadows corona park,empiric,av,,Q-15,POINT (-73.84178561075053 40.74327909895254)
956,telephone playground - ps 205,telephone playground,pgs,av,,Q-11,POINT (-73.75660000000001 40.73849999999985)
957,oracle playground,oracle playground,park_direct,av,,B-02,POINT (-73.97151844984823 40.69393129473912)
958,ehrenreich austin playground,ehrenreich-austin playground,pgs,av,,Q-06,POINT (-73.8368 40.71549999999983)
959,central park - dana discovery nature center,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
960,vleigh playground - ps 165,vleigh playground,pgs,v,,Q-08,POINT (-73.8165 40.72979999999986)
961,charles w cooke farm park,charles w cooke farm garden,other,v,,X-06,POINT (-73.89398091621348 40.8526171214705)
962,jerome playground,jerome playground,park_direct,av,,B-05,POINT (-73.87950264401644 40.6588317441051)
963,pol. officer edward byrne park,police officer edward byrne park,other,av,,Q-10,POINT (-73.80744201321536 40.66733919107867)
964,eugenio maria de hostos playground,eugenio maria de hostos playground,pgs,av,,B-01,POINT (-73.94929999999999 40.70269999999984)
965,luna park playground,luna park playground,pgs,av,,B-13,POINT (-73.9785 40.57599999999985)
966,pool - bushwick,bushwick pool,pool,av,,B-01,POINT (-73.93980000000001 40.70189999999984)
967,behagen playground,behagen playground,park_direct,av,,X-03,POINT (-73.90140801779495 40.82530246638302)
968,steinway playground and jhs 141,steinway playground (jhs 141),pgs,av,,Q-01,POINT (-73.90349999999999 40.77639999999984)
969,freedom square,freedom square playground,other,av,,Q-08,POINT (-73.8202824911866 40.72322946973232)
970,ericsson playground,ericsson playground,park_direct,av,,B-01,POINT (-73.94823889583347 40.72036573256295)
971,challenge playground - ps 187,challenge playground,pgs,av,,Q-11,POINT (-73.72800000000001 40.75659999999985)
972,pool - tony dapolito,tony dapolito pool,pool,av,,M-02,POINT (-74.00539999999999 40.72959999999984)
973,pool - tony dapolito,tony dapolito pool,pool,av,,M-02,POINT (-74.0055 40.72969999999985)
974,tiffany playground,tiffany playground,park_direct,av,,X-02,POINT (-73.89437491146526 40.82484000082937)
975,robert venable park,robert e. venable park,other,av,,B-05,POINT (-73.865228988849 40.67442236582951)
976,pool - west brighton,west brighton pool,pool,av,,R-01,POINT (-74.1193 40.63709999999983)
977,green central knoll,green central knoll,park_direct,av,,B-04,POINT (-73.93303456027448 40.70193346210341)
978,prospect park - the bandshell a,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
979,pool - fort totten,fort totten pool,pool,av,,Q-07,POINT (-73.7747 40.79219999999986)
980,joseph c sauer playground,joseph c. sauer park,other,v,,M-03,POINT (-73.97973450304733 40.72817257645358)
981,van cortlandt park - old croton aqueduct trail middle,van cortlandt park,empiric,av,,X-13,POINT (-73.88666707241306 40.89710151291683)
982,cedar grove,cedar grove playground,other,av,,Q-08,POINT (-73.82447014412392 40.73616117816309)
983,kaltenmeier playground,kaltenmeier playground,park_direct,av,,R-01,POINT (-74.06879987148949 40.61482923175881)
984,bergen beach playground,bergen beach playground,park_direct,av,,B-18,POINT (-73.90953459862187 40.62242748145721)
985,westbourne playground,westbourne playground,park_direct,av,,Q-14,POINT (-73.76440935187183 40.60799730451329)
986,washington park,washington park,park_direct,av,,X-06,POINT (-73.8936132881028 40.85575918511618)
987,washington park,washington park,park_direct,av,,B-06,POINT (-73.98556815271526 40.67271974786116)
988,washington park,washington park,park_direct,av,,X-06,POINT (-73.8936132881028 40.85575918511618)
989,washington park,washington park,park_direct,av,,B-06,POINT (-73.98556815271526 40.67271974786116)
990,jennifer's playground,jennifer's playground,park_direct,av,,R-01,POINT (-74.16312967868737 40.62005337569559)
991,paul raimonda playground,paul raimonda playground,park_direct,av,,Q-01,POINT (-73.89744607990824 40.7728024939352)
992,edmonds playground,edmonds playground,park_direct,av,,B-02,POINT (-73.97153486806999 40.68918815243118)
993,st mary's playground south,st mary's playground south,pgs,av,,X-01,POINT (-73.9139 40.81039999999983)
994,thorpe family playground,thorpe family playground,park_direct,av,,X-06,POINT (-73.89487681417771 40.85622320518603)
995,recreation center - bowne park,bowne park,other,v,,Q-07,POINT (-73.80736310111261 40.77052044996138)
996,willets point playground - ps 209,willets point playground,pgs,av,,Q-07,POINT (-73.7963 40.78379999999983)
997,lions' pride playground,lions' pride playground,pgs,av,,B-05,POINT (-73.8997 40.66259999999985)
998,mae grant playground,mae grant playground,park_direct,av,,M-11,POINT (-73.94944003400214 40.79243956295008)
999,peter minuit park,peter minuit playground,other,v,,M-11,POINT (-73.94723147240771 40.79477074587869)
1000,magenta playground,magenta playground,park_direct,av,,X-12,POINT (-73.86786660416207 40.8737461446063)
1001,pool - lyons,lyons pool,pool,av,,R-01,POINT (-74.07429999999999 40.63689999999986)
1002,capt jacob joseph playground,capt jacob joseph playground,pgs,av,,M-03,POINT (-73.98990000000001 40.71359999999984)
1003,pool - ps 20 playground (adelphi),parham playground,pgs,v,,B-02,POINT (-73.9708 40.69029999999984)
1004,scarangella park,scarangella park,park_direct,av,,B-13,POINT (-73.98433885872602 40.59466594407015)
1005,flushing meadows and corona park - jurassic playground,flushing meadows corona park,empiric,av,,Q-15,POINT (-73.84178561075053 40.74327909895254)
1006,mazzei playground,mazzei playground,park_direct,av,,X-11,POINT (-73.85846847964099 40.86254125618888)
1007,pool - sunset park,sunset park pool,pool,av,,B-07,POINT (-74.0026 40.64719999999985)
1008,pool - howard,howard pool,pool,av,,B-16,POINT (-73.9089 40.67269999999984)
1009,little claremont park,little claremont park,park_direct,av,,X-03,POINT (-73.90375467056485 40.83877624825019)
1010,mellett playground,mellett playground,park_direct,av,,B-15,POINT (-73.95744721938408 40.59698660698653)
1011,howard playground,howard playground,park_direct,av,,B-16,POINT (-73.90808802993736 40.67172563605441)
1012,pool - haffen,haffen pool,pool,av,,X-12,POINT (-73.83920000000001 40.87429999999984)
1013,pool - haffen,haffen pool,pool,av,,X-12,POINT (-73.8394 40.87439999999985)
1014,vidalia park,vidalia park,park_direct,av,,X-06,POINT (-73.88143061087607 40.84386494370973)
1015,power playground,power playground,park_direct,av,,B-18,POINT (-73.92732201405053 40.61812995054614)
1016,col charles young playground,col charles young playground,pgs,av,,M-10,POINT (-73.9357 40.81929999999985)
1017,baisley pond park - lakeview lane playground,lakeview lane playground,pgs,av,,Q-12,POINT (-73.7824 40.67769999999985)
1018,white playground,white playground,park_direct,av,,M-11,POINT (-73.94590604211942 40.79164156845327)
1019,white playground,white playground,park_direct,av,,R-01,POINT (-74.06313632222296 40.60757982228441)
1020,white playground,white playground,park_direct,av,,M-11,POINT (-73.94590604211942 40.79164156845327)
1021,white playground,white playground,park_direct,av,,R-01,POINT (-74.06313632222296 40.60757982228441)
1022,rochdale park playground  at jhs 72,rochdale park (jhs 72),pgs,v,,Q-12,POINT (-73.77500000000001 40.67419999999986)
1023,harvey playground,harvey playground,pgs,av,,Q-07,POINT (-73.8237 40.78259999999985)
1024,watson gleason playground,watson gleason playground,park_direct,av,,X-09,POINT (-73.86896398138542 40.82844178099956)
1025,starlight park - daniel boone playground,daniel boone playground,pgs,v,,X-03,POINT (-73.88590000000001 40.82959999999984)
1026,lt joseph petrosino park,lt. joseph petrosino park,other,av,,B-11,POINT (-73.99851228397858 40.61911977003901)
1027,riverside park - neufeld playgound,riverside park,pgs,av,,M-14,POINT (-73.976 40.79669999999984)
1028,horseshoe playground,horseshoe playground,park_direct,av,,X-02,POINT (-73.89769156973233 40.82412121932186)
1029,gutenberg playground,gutenberg playground,park_direct,av,,M-04,POINT (-73.99016533010925 40.76346433732986)
1030,willow lake playground - ps 197,willow lake playground,pgs,av,,Q-06,POINT (-73.83710000000001 40.72259999999984)
1031,van cortlandt park - golf house and lower putnam trail,van cortlandt park,empiric,av,,X-13,POINT (-73.88666707241306 40.89710151291683)
1032,prospect park - lower long meadow,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
1033,174th st playground,174th st playground,pgs,av,,X-09,POINT (-73.87779999999999 40.83439999999986)
1034,aqueduct walk - 227 street playground,227st playground,pgs,v,,X-14,POINT (-73.8642 40.89089999999985)
1035,ocean hill playground,ocean hill playground,park_direct,av,,B-16,POINT (-73.91218575078922 40.67442793028047)
1036,forest park - mary whalen playground,forest park,empiric,av,,Q-16,POINT (-73.85300297695302 40.70205260741513)
1037,weeksville playground,weeksville playground,park_direct,av,,B-03,POINT (-73.91947406534804 40.67724805152508)
1038,alley park - ps 213 playground,alley park,pgs,v,,Q-11,POINT (-73.74509999999999 40.74719999999985)
1039,browne park - boone playground,daniel boone playground,pgs,v,,X-03,POINT (-73.88590000000001 40.82959999999984)
1040,nathan weidenbaum park,nathan weidenbaum park,park_direct,av,,Q-02,POINT (-73.90224439469462 40.738160292776)
1041,pelham bay park - orchard beach parking lot,pelham bay park,empiric,av,,X-11,POINT (-73.80420185645582 40.8681072084011)
1042,central park - ross pinetum,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
1043,carlton park,carlton park,park_direct,av,,R-03,POINT (-74.20230791538397 40.5330718377779)
1044,carlton park,carlton park,park_direct,av,,R-03,POINT (-74.18447234054769 40.55191548990546)
1045,bayswater park - bayswater playground,bayswater playground,pgs,av,,Q-14,POINT (-73.767 40.59899999999984)
1046,loreto park,loreto playground,other,v,,X-11,POINT (-73.85211929613419 40.84905801986687)
1047,jesse owens playground,jesse owens playground,park_direct,av,,B-03,POINT (-73.93239338845963 40.69137246290626)
1048,pfc norton playground,pfc norton playground,park_direct,av,,B-15,POINT (-73.94490167230683 40.61458120357)
1049,st nicholas playground south,st nicholas south playground,pgs,av,,M-10,POINT (-73.94720000000001 40.81109999999984)
1050,midland field,midland field,park_direct,av,,R-02,POINT (-74.09859984427672 40.5761637330039)
1051,osborn playground,osborn playground,park_direct,av,,B-16,POINT (-73.90604312894524 40.65564307754409)
1052,gorman playground,gorman playground,park_direct,av,,Q-03,POINT (-73.88423696462945 40.76238428362397)
1053,powell playground,powell playground,park_direct,av,,B-16,POINT (-73.90482748532767 40.67127294044832)
1054,recreation center - hunt's point,julio carballo fields,other,v,,X-02,POINT (-73.88925076069744 40.81560095565762)
1055,israel putnam - ps 44,p.s. 44,school,v,,R-01,POINT (-74.15759791100001 40.63176421869984)
1056,kennedy king playground,kennedy king playground,park_direct,av,,B-17,POINT (-73.92203240165965 40.65859608875999)
1057,prospect park - lefferts homestead carousel,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
1058,bleecker playground,bleecker playground,park_direct,av,,M-02,POINT (-74.00548634669907 40.73629820373751)
1059,cauldwell playground,cauldwell playground,pgs,av,,X-03,POINT (-73.90730000000001 40.82289999999983)
1060,millbrook playground,millbrook playground,park_direct,av,,X-01,POINT (-73.91664783852073 40.80435409179837)
1061,the creative little garden,the creative little garden,park_direct,av,,M-03,POINT (-73.982587598026 40.72465096670563)
1062,arthur von briesen park,von briesen park,other,av,,R-01,POINT (-74.05862257880288 40.60775144420084)
1063,greenpoint playground,greenpoint playground,park_direct,av,,B-01,POINT (-73.95901615863123 40.7357315278958)
1064,beach channel playground - ps 183,beach channel playground,pgs,av,,Q-14,POINT (-73.8058 40.58899999999983)
1065,jackie robinson park playground - school,jackie robinson park,pgs,av,,B-03,POINT (-73.92770000000002 40.68019999999983)
1066,jackie robinson park playground - school,jackie robinson park,pgs,av,,M-10,POINT (-73.94119999999999 40.82589999999985)
1067,ampere playground - ps 64,ampere playground,pgs,av,,Q-09,POINT (-73.857 40.68149999999984)
1068,nostrand playground,nostrand playground,park_direct,av,,B-17,POINT (-73.94705808666636 40.63811484282444)
1069,stockton playground,stockton playground,park_direct,av,,B-03,POINT (-73.94867376714565 40.69728373675906)
1070,william t davis wildlife refuge,davis playground,other,av,,R-01,POINT (-74.08560985681625 40.64228602183937)
1071,decatur playground,decatur playground,park_direct,av,,B-03,POINT (-73.93655118274418 40.68143571408803)
1072,garrison playground,garrison playground,park_direct,av,,X-01,POINT (-73.92831642875279 40.81753928095663)
1073,recreation center - st. mary's,st. mary's park,other,v,,X-01,POINT (-73.91221896540091 40.811469939094)
1074,recreation center - st. mary's,st. mary's park,other,v,,B-06,POINT (-73.99721990458788 40.67643122677288)
1075,recreation center - st. mary's,st. mary's park,other,v,,B-06,POINT (-73.99754049916189 40.67578557815491)
1076,crotona park - playground of the stars,crotona park,empiric,av,,X-03,POINT (-73.89489523245744 40.83858538262999)
1077,playground eighty - ps 115,playground eighty (lxxx),pgs,v,,Q-13,POINT (-73.70959999999999 40.74469999999984)
1078,35 playground,ravenswood playground,pgs,v,,Q-01,POINT (-73.93519999999999 40.76289999999984)
1079,van cortlandt park - stables area,van cortlandt park,empiric,av,,X-13,POINT (-73.88666707241306 40.89710151291683)
1080,julio carballo field,julio carballo fields,other,av,,X-02,POINT (-73.88925076069744 40.81560095565762)
1081,starlight park - bridge playground,bridge playground,pgs,v,,X-04,POINT (-73.9242 40.84429999999984)
1082,highbridge recreation center,highbridge park,other,v,,M-12A,POINT (-73.93046510008581 40.8465014989529)
1083,highbridge recreation center,highbridge park,other,v,,X-04,POINT (-73.92678915223533 40.84207696521291)
1084,brook park,brook park,park_direct,av,,X-01,POINT (-73.91873905338221 40.80954525516824)
1085,clintonville playground - jhs 194,clintonville playground,pgs,av,,Q-07,POINT (-73.8073 40.78309999999985)
1086,jamaica playground - ps 40,jamaica playground (ps 40),pgs,av,,Q-12,POINT (-73.791 40.69319999999984)
1087,stars and stripes playground,stars  stripes playground,pgs,av,,X-12,POINT (-73.8396 40.88549999999984)
1088,hammel playground,hammel playground,park_direct,av,,Q-14,POINT (-73.80937414921949 40.58820285800866)
1089,coleman square playground,coleman playground,pgs,av,,M-03,POINT (-73.9932 40.71119999999985)
1090,carmansville playground,carmansville playground,park_direct,av,,M-09,POINT (-73.94425772572644 40.82918882208801)
1091,police officer edward byrne park,police officer edward byrne park,park_direct,av,,Q-10,POINT (-73.80744201321536 40.66733919107867)
1092,linden park - jhs 166,linden park,other,v,,B-05,POINT (-73.88699861763307 40.65895238435987)
1093,scarangella park - lafayette playground,lafayette playground,pgs,av,,B-03,POINT (-73.9301 40.69259999999984)
1094,scarangella park - lafayette playground,lafayette playground,pgs,av,,B-13,POINT (-73.9854 40.59459999999985)
1095,hunt's point riverside park,hunts point riverside park,other,av,,X-02,POINT (-73.88160081555476 40.81768244443519)
1096,saul weprin playground - ps 162,saul weprin playground,pgs,av,,Q-11,POINT (-73.7764 40.74799999999985)
1097,107th street pier,pier 107 cvii,other,v,,M-11,POINT (-73.93664647724813 40.78907193412009)
1098,central park - conservatory garden,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
1099,newtown barge terminal playground,newtown barge terminal playground,pgs,av,,B-01,POINT (-73.95999999999999 40.73589999999984)
1100,clinton community garden,clinton community garden,park_direct,av,,M-04,POINT (-73.99173386935246 40.76277932161853)
1101,fort greene playground,fort greene playground,pgs,av,,B-02,POINT (-73.97709999999999 40.69239999999984)
1102,buswhick playground,bushwick playground,pgs,av,,B-04,POINT (-73.9122 40.69609999999984)
1103,maurice a fitzgerald playground,maurice a fitzgerald playground,park_direct,av,,Q-09,POINT (-73.83975342662171 40.69031876261426)
1104,barretto park,barretto park,park_direct,av,,X-02,POINT (-73.88863044234961 40.81284971580241)
1105,central park - pat hoffman friedman playground,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
1106,golf course - dyker beach,dyker beach golf course,golf,v,,B-10,POINT (-74.019322 40.61249599999982)
1107,stanley isaacs court,stanley isaacs playground,other,v,,M-08,POINT (-73.94436600296031 40.78308566511349)
1108,grady playground,grady playground,park_direct,av,,B-13,POINT (-73.9647123652824 40.58305310665308)
1109,old town playground,old town playground,park_direct,av,,R-02,POINT (-74.08136110497256 40.59539476652346)
1110,red hook park - bush clinton park playground,red hook recreation area,empiric,av,,B-06,POINT (-74.00569975591829 40.67186885874889)
1111,pontiac playground,pontiac playground,park_direct,av,,X-01,POINT (-73.90823105581643 40.81425170871553)
1112,steeplechase park,steeplechase park,park_direct,av,,B-13,POINT (-73.98395798409034 40.57407146163516)
1113,sheltering arms park,sheltering arms playground,other,v,,M-09,POINT (-73.95585957893643 40.81504274746543)
1114,pelham bay park - orchard beach playground,pelham bay park,empiric,av,,X-11,POINT (-73.80420185645582 40.8681072084011)
1115,van cortlandt park - north east forest,van cortlandt park,empiric,av,,X-13,POINT (-73.88666707241306 40.89710151291683)
1116,forest park - joseph devoy playground,forest park,empiric,av,,Q-16,POINT (-73.85300297695302 40.70205260741513)
1117,corporal john a seravalli playground,corporal john a. seravalli playground,empiric,av,,M-02,POINT (-74.00479367092608 40.73907115927106)
1118,jacobs ladder,jacob's ladder playground,other,av,,B-01,POINT (-73.96702779620674 40.7048688929191)
1119,cuite park,thomas j. cuite park,other,v,,B-07,POINT (-73.97865637708747 40.65423605210074)
1120,george walker jr. park,george walker jr. park,park_direct,av,,B-05,POINT (-73.89511315745133 40.67861760838149)
1121,brooklyn bears rockwell pl garden,brooklyn bears rockwell pl garden,park_direct,av,,B-02,POINT (-73.97926440290274 40.68694599363557)
1122,hunts point playground,hunts point playground,park_direct,av,,X-02,POINT (-73.88597051975698 40.8141365597709)
1123,lower highland playground,lower highland playground,pgs,av,,B-05,POINT (-73.8856 40.68399999999985)
1124,clason point park,soundview park,other,v,,X-09,POINT (-73.86623272278891 40.81157999142318)
1125,space time playground,space time playground,park_direct,av,,X-09,POINT (-73.85987610485013 40.82232449617391)
1126,p.o. serrano playground,p.o. serrano playground,park_direct,av,,X-09,POINT (-73.85101554652009 40.8234002894259)
1127,randall's island park,randall's island park,park_direct,av,,M-11R,POINT (-73.92178380205117 40.7956532900938)
1128,canal park,canal park,park_direct,av,,M-01,POINT (-74.01058097618818 40.72534443238578)
1129,recreation center - lost battalion hall,lost battalion hall recreation center,other,av,,Q-06,POINT (-73.8651022817575 40.73221942173213)
1130,frank golden park,frank golden park,park_direct,av,,Q-07,POINT (-73.83373902606699 40.78483645539275)
1131,henry m jackson playground,henry m jackson playground,pgs,av,,M-03,POINT (-73.9815 40.71399999999985)
1132,south rochdale playground - ps 80,south rochdale playground,pgs,av,,Q-12,POINT (-73.76909999999999 40.67379999999987)
1133,canarsie park - dinapoli playground,dinapoli playground,pgs,av,,B-18,POINT (-73.8931 40.63079999999984)
1134,fresh creek nature preserve,fresh creek nature preserve,park_direct,av,,B-18,POINT (-73.88446862139413 40.64397908978828)
1135,reeds basket willow's swamp,reed's basket willow swamp park,other,av,,R-02,POINT (-74.10426967887892 40.60137428629454)
1136,james weldon johnson playground - ps 57,james weldon johnson playground,pgs,av,,M-11,POINT (-73.9418 40.79719999999985)
1137,merriam playground - upper,merriam playground (upper),pgs,av,,X-04,POINT (-73.9269 40.84059999999986)
1138,golf course - randalls island driving range,randall's island park,other,v,,M-11R,POINT (-73.92178380205117 40.7956532900938)
1139,bayside fields,bayside fields,park_direct,av,,Q-11,POINT (-73.78569995222692 40.77297199240777)
1140,fresh meadows playground - ps 173,fresh meadows playground,pgs,av,,Q-08,POINT (-73.7962 40.73409999999984)
1141,recreation center - north meadow,central park,other,v,,M-13,POINT (-73.96555840117853 40.78248383838978)
1142,upper highland playground,upper highland playground,pgs,av,,B-05,POINT (-73.8927 40.68289999999984)
1143,bridge park 3,bridge park 3,park_direct,av,,B-02,POINT (-73.9852536190603 40.70030116678281)
1144,frank golden park - 136 street playground,136 st playground,pgs,v,,Q-07,POINT (-73.833 40.78479999999983)
1145,arrow community garden,a.r.r.o.w. field house,other,av,,Q-01,POINT (-73.92628676451788 40.75582838691463)
1146,horace harding playground - ps 206,horace harding playground,pgs,av,,Q-06,POINT (-73.8605 40.73319999999983)
1147,greencroft playground - ps 53,greencroft playground,pgs,av,,R-03,POINT (-74.13639999999999 40.55179999999984)
1148,pelham bay park - orchard beach pavilion,pelham bay park,empiric,av,,X-11,POINT (-73.80420185645582 40.8681072084011)
1149,wald playground,wald playground,park_direct,av,,M-03,POINT (-73.97688215009504 40.71969034466826)
1150,ocean parkway malls,ocean parkway malls,park_direct,av,,B-12,POINT (-73.9690710814149 40.61215683353135)
1151,pat williams playground,pat williams playground,park_direct,av,,Q-13,POINT (-73.72951679950573 40.71303950355841)
1152,highbridge park - fort george playground,ft george playground,pgs,v,,M-12A,POINT (-73.9259 40.85839999999983)
1153,flushing meadows and corona park - world ice arena,flushing meadows corona park,empiric,av,,Q-15,POINT (-73.84178561075053 40.74327909895254)
1154,nathan straus playground - ps 140,nathan straus playground,pgs,av,,M-03,POINT (-73.98399999999999 40.71919999999984)
1155,recreation center - mullaly,mullaly park,other,v,,X-04,POINT (-73.92420722008595 40.83277446840562)
1156,east springfield playground,east springfield playground,park_direct,av,,Q-13,POINT (-73.74000526038746 40.6984275961825)
1157,highbridge park - cpf playground,cpf playground,pgs,v,,M-12A,POINT (-73.93389999999999 40.84199999999984)
