,cleanName,NAME,Type,valid,parkDistrict_x,parkDistrict_y,geometry
399,edenwald playground,edenwald playground,park_direct,av,,X-12,POINT (-73.84500475613083 40.88436250394456)
400,baisley pond park,baisley pond park,park_direct,av,,Q-12,POINT (-73.78618229228482 40.67588888213658)
401,van cortlandt park - kelley fields,van cortlandt park,empiric,av,,X-13,POINT (-73.88666707241306 40.89710151291683)
402,ferry point park,ferry point park,park_direct,av,,X-10,POINT (-73.83329718885406 40.81237723008534)
403,107th street pier,pier 107 cvii,other,v,,M-11,POINT (-73.93664647724813 40.78907193412009)
404,st mary's park,st. mary's park,other,av,,X-01,POINT (-73.91221896540091 40.811469939094)
405,st mary's park,st. mary's park,other,av,,B-06,POINT (-73.99721990458788 40.67643122677288)
406,st mary's park,st. mary's park,other,av,,B-06,POINT (-73.99754049916189 40.67578557815491)
407,brower park,brower park,park_direct,av,,B-08,POINT (-73.94339231961148 40.67383932451263)
408,central park - james michael levin playground,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
409,riverside park - hippo playground,hippo playground,pgs,av,,M-14,POINT (-73.9782 40.79309999999983)
410,marble hill playground,marble hill playground,park_direct,av,,X-08,POINT (-73.90818127476092 40.87748556607426)
411,highland park area a,highland park,empiric,av,,B-05,POINT (-73.88667123921616 40.68498049079619)
412,highland park area a,highland park,empiric,av,,Q-05,POINT (-73.88835329258271 40.68772421316439)
413,allerton playground,allerton playground,park_direct,av,,X-11,POINT (-73.8505359798358 40.86599495804609)
