,Park Facility Name,SIGNNAME
57211,,Highland Park Childrens Garden
57212,,Martin Luther King Jr. Playground
57213,,Big Red Garden
57214,,Reed's Basket Willow Swamp Park
57215,,Lower East Side Playground
57216,,Lost Battalion Hall Recreation Center
57217,,LaTourette Park & Golf Course
57218,,Grandview Playground
57219,,Korean War Veterans Plaza
57220,,Clawson Playground
57221,,Sports Park
57222,,Latinos Unidos Garden
57223,,Harold Ickes Playground
57224,,Greencroft Playground
57225,,South Shore Country Club
57226,,CPL. Thompson Park
57227,,Tottenville Pool
57228,,Lt. Lia Playground
57229,,Joe Holzka Community Garden
57230,,Dr. Green Playground
57231,,Clearview's Tail
57232,,P.S. 125 Playground
57233,,John Hancock Playground
57234,,Aesop Park
57235,,Continental Army Plaza
57236,,Russell Pedersen Playground
57237,,Pfc Norton Playground
57238,,Harry Chapin Playground
57239,,United Community Center Garden
57240,,Police Officer Nicholas Demutiis Park
57241,,Trinity Park
57242,,Jennie Jerome Playground
57243,,Queens Valley Playground
57244,,Dutch Kills Playground
57245,,Rockaway Garage
57246,,P.O. Reinaldo Salgado Playground
57247,,St. Andrew's Playground
57248,,Yankee Stadium Garages/Lots
57249,,Seward Park
57250,,Nicholas Naquan Heyward Jr. Park
57251,,McDonald Playground
57253,,Howard Pool
57254,,Potomac Playground
57255,,Sumner Playground
57256,,St. Mary's Park
57259,,Marc And Jason's Playground
57260,,Luna Park
57261,,Playground 286
57262,,El Shabazz Playground
57263,,Beach Channel Playground
57264,,Rainbow Garden
57265,,Di Gilio Playground
57266,,Whalen Park
57267,,100% Playground
57268,,Green Gems
57269,,Stroud Playground
57270,,Kosciuszko Pool
57271,,Curtis Playground
57272,,De Hostos Playground
57273,,Floyd Patterson Ballfields
57274,,University Place
57275,,Robert E. Venable Park
57276,,Gateway Triangle
57277,,Lt. Federico Narvaez Tot Lot
57278,,Carter G. Woodson Children's Park
57279,,Magnolia Tree Earth Center
57280,,Human Compass Garden
57281,,The Backyard
57282,,Summit Street Community Garden
57283,,Hull Street Garden
57284,,Georgia Ave Garden
57285,,P.S. 4 Paradise Garden
57286,,Umoja Garden
57287,,Brooklyn Bears Carlton Ave Garden
57288,,Project Roots
57289,,Earth Spirit Garden
57290,,Hope Ballfield
57291,,Lewis Playground
57292,,Hendrick I. Lott House
57293,,Old Gravesend Cemetery
57294,,Gethsemane Garden
57295,,700 Decatur St Block Association
57296,,All People's Church of the Apostolic Faith Community Garden
57297,,Amboy Neighborhood Center
57298,,American Heart
57299,,P.S. 149 Artsy Bloom Community Garden
57300,,Atkins Gardeners
57301,,Berry Street Garden
57302,,Ten Eyck Houses Garden
57303,,Causa Festival Garden
57304,,New Vision Garden
57305,,Clara's Garden
57306,,Clifton Pl Memorial Park and Garden
57307,,Concerned Residents of Montauk Avenue
57308,,Cooper St Block Buster Bl Association
57309,,Walt L Shemal Garden
57310,,East End Community Garden
57311,,Elton St Block Association
57312,,Fantasy Garden
57313,,Farmers Garden
57314,,First Quincy St Block Association
57315,,Floral Vineyard
57316,,Glenmore Hendrix Block Association
57317,,Good Shepherds Garden
57318,,Granite St Block Association
57319,,Greene Av United Neighbors Association Inc
57320,,Hancock T and T
57321,,Herbal Garden
57322,,Sh'ma Yisrael
57323,,Jerome Gardens
57324,,Jerry and The Senior Gents
57325,,Lefferts Pl Block Association
57326,,Lincoln Rd Block Association
57327,,Madison Square Garden Association
57328,,Madison Street Block Association
57329,,Manley's Pl
57330,,Gregory's Garden
57331,,P.S. 53
57332,,Preston Community Garden
57333,,Red Gate Garden
57334,,Red Shed Garden
57335,,Shield Of Faith
57336,,St. John Cantius Parish
57337,,Upon This Rock Comm Garden
57338,,Vernon Tandt Block Association
57339,,Vernon/Throop Ave Block Association
57340,,Victory Garden
57343,,Louis Pl Friends
57344,,Madison Community Greenthumb
57345,,Patrick Van Doren Pocket Park
57346,,St. Mark's Block Association
57347,,Stars Of Hope
57348,,Ponderosa Garden
57349,,Sterling Community Group
57350,,A Better Community Garden
57351,,Vernon New Harvest
57352,,Nehemiah Ten Garden
57353,,"Saratoga Square Urban Renewal Area, Site 164"
57354,,Victory Garden's Group
57355,,Spencer St Block Association
57356,,Concerned Citizens of Grove Street
57357,,Mw United Orient Grand Lodge
57358,,Prospect Heights Community Farm
57359,,Community Group of 349 Elton Street
57360,,United Community Centers - E New York Farms Project
57361,,Howard Av Block Association
57362,,Garden
57376,,400 Montauk Av Block Assn
57377,,Prophecy Garden
57378,,Sunrise Playground
57379,,Julio Carballo Fields
57380,,Playground Twenty One
57381,,Clearview Park
57382,,Glen Oaks Oval
57383,,McLaughlin Playground
57384,,Marie Curie Park
57385,,Douglaston Park Golf Course
57386,,Saul Weprin Playground
57387,,Admiral Park
57388,,Tall Oak Playground
57389,,Playground Eighty LXXX
57390,,Annadale Playground
57391,,Bellaire Playground
57392,,Rory Staunton Field
57393,,Nathan Straus Playground
57394,,Pelham Bay Little League
57395,,Blood Root Valley
57396,,Vleigh Playground
57397,,Van Alst Playground
57398,,Castlewood Playground
57399,,Queens Farm Park
57400,,Bellerose Playground
57401,,Locust Manor Playground
57402,,Russell Sage Playground
57403,,Playground Seventy Five
57404,,Detective William T. Gunn Park
57405,,Arsenal West
57406,,Arsenal North
57407,,Oakland Gardens
57408,,Hollis Playground
57409,,Lannett Playground
57410,,Harold Schneiderman Playground
57411,,Walter Ward Playground
57412,,Seaside Playground
57413,,North Rochdale Playground
57414,,South Rochdale Playground
57415,,Horace Harding Playground
57416,,Murray Hill Playground
57417,,Willets Point Playground
57418,,Playground Sixty Two LXII
57419,,Ampere Playground
57420,,Francis Lewis Playground
57421,,Bayside Playground
57422,,Clintonville Playground
57423,,Conch Playground
57424,,Auburndale Playground
57425,,Rosemary's Playground
57426,,Bay Terrace Playground
57427,,Spirit Playground
57428,,Athens Square
57429,,Underbridge Dog Run
57430,,Delphin H. Greene Playground
57431,,Fidler-Wyckoff House Park
57432,,Asser Levy Playground
57433,,Vinegar Hill Community Garden
57434,,Brooklyn Academy Of Music
57435,,Richmond Terrace Storehouse
57436,,The Cyclone
57437,,Thomas Paine Park
57438,,61 Franklin St Garden
57439,,Synergi Urban Garden UCFP
57440,,P.S. 279 Playground
57441,,Culinary Kids Garden
57442,,Cpl Fischer Park
57443,,Magic Garden
57444,,Imagination Playground
57445,,West Farms Rapids
57446,,Sunflower Garden
57447,,Vogue Garden
57448,,DeLury Square
57449,,I-Am-Park
57450,,Owen F. Dolen Park
57451,,Milestone Park
57452,,Fort Stirling Park
57453,,Saratoga Park
57454,,J.J. Byrne Playground
57455,,Lindsay Triangle
57456,,Albert Capsouto Park
57457,,Fidelity Triangle
57458,,West Bronx Recreation Center
57459,,Seven Gables Playground
57460,,Park Of The Americas
57461,,Benninger Playground
57462,,L/CPL Thomas P. Noonan Jr. Playground
57463,,Captain Tilly Park
57464,,Astoria Health Playground
57465,,Whitey Ford Field
57466,,Torsney Playground
57467,,TRUCE Garden
57468,,Kelly Park
57470,,McLaughlin Park
57471,,Ennis Playground
57472,,Lt. Joseph Petrosino Park
57473,,Seth Low Playground/ Bealin Square
57474,,Lion's Pride Playground
57475,,Bill Brown Playground
57476,,Msgr. McGolrick Park
57477,,A. Badillo Community Rose Garden
57478,,811 Family and Friends Garden
57479,,Sam Leggio Triangle
57480,,Welcome Home Garden
57481,,Sumpter Community Garden
57482,,Pena Herrera Park
57483,,Lieutenant John H. Martinson Playground
57484,,Cough Triangle
57485,,Raymond Bush Playground
57486,,Colonel David Marcus Playground
57487,,Kolbert Playground
57488,,Underhill Playground
57489,,Leave it Better Kids' Garden
57490,,Grover Cleveland Playground
57491,,Lawrence Virgilio Playground
57492,,Wayanda Park
57493,,"Phil ""Scooter"" Rizzuto Park"
57494,,St. Mark's Garden
57495,,Neighborhood Community Garden
57496,,St. John's Recreation Center
57497,,"""Uncle"" Vito E. Maranzano Glendale Playground"
57498,,Jane Street Garden
57499,,Valentino Pier
57500,,Jordan Magic Garden
