,District,score_type,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
10,B-04,Area Normalized Score,0.715373926638,0.899236454059,0.786669635169,0.852191875844,0.892500328147,0.843514274769,0.87753537457,0.875977218244,0.910090859514,0.813154610867,0.841195603615,0.858548639326
11,B-04,Amenities & Area Normalized Score,0.724969177856,0.902121511401,0.759680578694,0.846704458279,0.887488380178,0.835832898196,0.863949179786,0.879247765055,0.906518630891,0.811015395095,0.83841164271,0.844663543304
12,B-05,Naive Normalized Score,0.8907330324,0.825710004281,0.86193991194,0.896816830512,0.89178828418,0.821217188608,0.929695787304,0.897488260532,0.881651802304,0.883759416912,0.827599445308,0.900956240729
13,B-05,Area Normalized Score,0.843613719453,0.780627460486,0.78255838119,0.851792593912,0.835666998647,0.725836107856,0.930814963727,0.8577463886,0.785345147488,0.838255266466,0.780849137108,0.899235995453
14,B-05,Amenities & Area Normalized Score,0.838465286604,0.802311250739,0.770706243345,0.843046508286,0.819822552546,0.687485554783,0.932864255166,0.854457727328,0.774530325364,0.836229275988,0.773767582813,0.888698511113
15,B-06,Naive Normalized Score,0.929437496264,0.83345959596,0.915395622896,0.883647244333,0.873705416447,0.846940872747,0.825492917576,0.912706498748,0.919574592075,0.908754532505,0.925584538918,0.941150516151
16,B-06,Area Normalized Score,0.933376756657,0.852130838113,0.898921049999,0.872967807738,0.84867206724,0.829430706246,0.804273402373,0.88540449589,0.891739908741,0.895771745267,0.922039689083,0.939499816633
17,B-06,Amenities & Area Normalized Score,0.935787170162,0.858826841176,0.901447599449,0.867118695787,0.836954378162,0.840950671081,0.794989305558,0.882255371343,0.884777280986,0.898861350939,0.917711823443,0.937289095135
18,B-07,Naive Normalized Score,0.843111171236,0.891794695204,0.883565354399,0.878120991663,0.912367667055,0.848205883623,0.82810962186,0.743727453102,0.89487017612,0.886308117808,0.881516689329,0.946111804862
19,B-07,Area Normalized Score,0.83413286772,0.855677587812,0.834855624383,0.883120814244,0.905793764888,0.794680120524,0.798915814353,0.693274480348,0.870046309171,0.861137148933,0.8566541795,0.943387466758
20,B-07,Amenities & Area Normalized Score,0.834480714073,0.83961786649,0.818626381818,0.888961898368,0.903533985132,0.77894774881,0.798426307683,0.68301064408,0.85860237075,0.842844809115,0.843633014774,0.945264398909
21,B-08,Naive Normalized Score,0.855643283484,0.830053511304,0.878616092902,0.856261478421,0.932127279286,0.902856201769,0.905720004633,0.858192170149,0.829690116647,0.882647967974,0.884908087082,0.939626787354
22,B-08,Area Normalized Score,0.844581921438,0.825844808185,0.862663807762,0.843714621616,0.923273419369,0.899346640629,0.89146386776,0.852606839038,0.816678769238,0.873605046226,0.873443038082,0.932720662903
23,B-08,Amenities & Area Normalized Score,0.854877164614,0.825861863292,0.852612369398,0.844906601703,0.918302894467,0.893990010582,0.874617826906,0.849967669992,0.794309672271,0.860248111894,0.863165028301,0.927487470142
24,B-09,Naive Normalized Score,0.951316045066,0.847695707071,0.856186868687,0.937354312354,0.883073523699,0.905885780886,0.938211094461,0.866667476042,0.859083624709,0.909600815851,0.855381944444,0.927083333333
25,B-09,Area Normalized Score,0.925028696184,0.851135513947,0.822378991032,0.929432282155,0.875944260202,0.897867638225,0.923084121959,0.810674295267,0.830855701252,0.843488064054,0.808475713564,0.89738528547
26,B-09,Amenities & Area Normalized Score,0.917398920371,0.846460727164,0.802072514345,0.929813484593,0.876904759754,0.899295643584,0.926741866219,0.793136516323,0.825043889985,0.824196195402,0.794862305412,0.889336138755
27,B-10,Naive Normalized Score,0.886356643357,0.853401575277,0.826228572525,0.881417271001,0.848626558627,0.764504730634,0.843759048598,0.816358551842,0.845890489439,0.818034966825,0.827714877715,0.789966884967
28,B-10,Area Normalized Score,0.884445610449,0.836544319168,0.793085522744,0.843577686743,0.821111276261,0.75673012583,0.82950015297,0.78857120241,0.837026089973,0.793625014216,0.769591050066,0.739349254826
29,B-10,Amenities & Area Normalized Score,0.891744114402,0.829898266078,0.823596006064,0.854104408905,0.814850669538,0.750928234727,0.807645950092,0.777519127191,0.82986240231,0.7749532229,0.754110487458,0.73350524636
30,B-11,Naive Normalized Score,0.926550722005,0.896986693862,0.903694285512,0.913696257446,0.834650997151,0.832680976431,0.875530950531,0.732436082436,0.752995152995,0.812922494172,0.747489689797,0.747559511196
